"unique_id","display_week","sewershed","percentile","percentile_bin","percentile_bin_label","counties","jurisdiction","latitude","longitude","percentile_bin__colour","percentile_bin_label__colour"
"NWSS_il_413_Treatment plant-2024-05-04","2024-05-04","ID:413","0.0","1","Minimal","Cook","Illinois","41.822289","-87.67568","#1a6e6b","#82cec2"
"WWS_ma_760_Treatment plant-2024-05-04","2024-05-04","ID:760","0.0","1","Minimal","Worcester","Massachusetts","42.244762","-71.81648100000001","#1a6e6b","#82cec2"
"WWS_nh_1191_Treatment plant-2024-05-04","2024-05-04","ID:1191","Insufficient Data","0","Insufficient Data","Merrimack","New Hampshire","43.271334","-71.66636299999999","#cccccc","#cccccc"
"NWSS_or_1728_Treatment plant-2024-05-04","2024-05-04","ID:1728","Insufficient Data","0","Insufficient Data","Hood River","Oregon","45.628392","-121.684246","#cccccc","#cccccc"
"NWSS_wv_2069_Treatment plant-2024-05-04","2024-05-04","ID:2069","Insufficient Data","0","Insufficient Data","Boone","West Virginia","38.015100000000004","-81.884908","#cccccc","#cccccc"
"NWSS_co_199_Treatment plant-2024-05-04","2024-05-04","ID:199","Insufficient Data","0","Insufficient Data","Denver","Colorado","39.870658","-104.92088799999999","#cccccc","#cccccc"
"NWSS_il_416_Before treatment plant-2024-05-04","2024-05-04","ID:416","Insufficient Data","0","Insufficient Data","Cook","Illinois","41.806969","-87.69192","#cccccc","#cccccc"
"NWSS_il_427_Before treatment plant-2024-05-04","2024-05-04","ID:427","Insufficient Data","0","Insufficient Data","Cook","Illinois","41.818768999999996","-87.69304","#cccccc","#cccccc"
"NWSS_il_495_Treatment plant-2024-05-04","2024-05-04","ID:495","0.0","1","Minimal","Warren","Illinois","40.916563","-90.610113","#1a6e6b","#82cec2"
"NWSS_oh_1606_Treatment plant-2024-05-04","2024-05-04","ID:1606","0.0","1","Minimal","Lorain","Ohio","41.361396","-82.100712","#1a6e6b","#82cec2"
"NWSS_az_36_Treatment plant-2024-05-04","2024-05-04","ID:36","Insufficient Data","0","Insufficient Data","Yuma","Arizona","32.546507999999996","-114.756559","#cccccc","#cccccc"
"WWS_nv_1179_Treatment plant-2024-05-04","2024-05-04","ID:1179-B","42.55","5","Moderate","Clark","Nevada","36.119024","-114.998654","#71e0d5","#51b2cd"
"CDC_VERILY_nc_1495_Treatment plant-2024-05-04","2024-05-04","ID:1495","Insufficient Data","0","Insufficient Data","Swain, Jackson","North Carolina","35.493481","-83.35925999999999","#cccccc","#cccccc"
"NWSS_il_478_Treatment plant-2024-05-04","2024-05-04","ID:478","Insufficient Data","0","Insufficient Data","Perry","Illinois","38.040165","-89.255326","#cccccc","#cccccc"
"CDC_VERILY_ca_115_Treatment plant-2024-05-04","2024-05-04","ID:115","Insufficient Data","0","Insufficient Data","Ventura, Los Angeles","California","33.779314","-118.29802199999999","#cccccc","#cccccc"
"NWSS_il_422_Before treatment plant-2024-05-04","2024-05-04","ID:422","37.21","4","Low","Cook","Illinois","41.812089","-87.67952","#5bc2b9","#b1e1bb"
"NWSS_il_450_Before treatment plant-2024-05-04","2024-05-04","ID:450","Insufficient Data","0","Insufficient Data","Kendall","Illinois","41.636852","-88.43115599999999","#cccccc","#cccccc"
"CDC_VERILY_nm_1226_Treatment plant-2024-05-04","2024-05-04","ID:1226","Insufficient Data","0","Insufficient Data","Bernalillo","New Mexico","35.028062999999996","-106.655021","#cccccc","#cccccc"
