date,Variant,share,Region,Variant__colour,variant_present,regional_levels,cdc_region,geographic_level,Region__colour,State_Abbreviation,activity_level,WVAL_Category,Number_of_Sites,Time_Period,Coverage,state_abbr,state_latitude,state_longitude,fips,cdc_region__colour,id,data_source
2023-01-07,BA.2.86,,National,#D771F1,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,1,NWSS
2023-01-07,BA.5,15.53,National,#80CBC4,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,2,NWSS
2023-01-07,BQ.1,19.09,National,#006064,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,3,NWSS
2023-01-07,BQ.1.1,26.03,National,#00838F,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,4,NWSS
2023-01-07,EG.5,,National,#FFBE7D,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,5,NWSS
2023-01-07,FL.1.5.1,,National,#8CD17D,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,6,NWSS
2023-01-07,HV.1,,National,#797765,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,7,NWSS
2023-01-07,JN.1,,National,#660099,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,8,NWSS
2023-01-07,JN.1.11.1,,National,#5C9CF1,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,9,NWSS
2023-01-07,JN.1.7,,National,#CF15E8,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,10,NWSS
2023-01-07,KP.1.1.3,,National,#1EB3B6,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,11,NWSS
2023-01-07,KP.2,,National,#5875A1,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,12,NWSS
2023-01-07,KP.2.3,,National,#628DE8,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,13,NWSS
2023-01-07,KP.3,,National,#B06589,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,14,NWSS
2023-01-07,KP.3.1.1,,National,#2F92A1,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,15,NWSS
2023-01-07,LB.1,,National,#795653,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,16,NWSS
2023-01-07,LF.7,,National,#3E8AA1,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,17,NWSS
2023-01-07,LP.8.1,,National,#FF860C,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,18,NWSS
2023-01-07,Other,20.85,National,#808080,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,19,NWSS
2023-01-07,XBB,,National,#9FA8DA,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,20,NWSS
2023-01-07,XBB.1.16,,National,#4527A0,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,21,NWSS
2023-01-07,XBB.1.16.6,,National,#59A14F,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,22,NWSS
2023-01-07,XBB.1.5,18.5,National,#3F51B5,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,23,NWSS
2023-01-07,XBB.1.9.1,,National,#304FFE,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,24,NWSS
2023-01-07,XBB.2.3,,National,#F7BCDF,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,25,NWSS
2023-01-07,XEC,,National,#4CA14C,yes,8.710596882403097,National,Aggregated,#1b9e77,,,,,,,,,,,,26,NWSS
2023-01-14,BA.2.86,,National,#D771F1,yes,6.292591714597597,National,Aggregated,#1b9e77,,,,,,,,,,,,27,NWSS
2023-01-14,BA.5,13.95,National,#80CBC4,yes,6.292591714597597,National,Aggregated,#1b9e77,,,,,,,,,,,,28,NWSS
2023-01-14,BQ.1,16.71,National,#006064,yes,6.292591714597597,National,Aggregated,#1b9e77,,,,,,,,,,,,29,NWSS
2023-01-14,BQ.1.1,24.85,National,#00838F,yes,6.292591714597597,National,Aggregated,#1b9e77,,,,,,,,,,,,30,NWSS
2023-01-14,EG.5,,National,#FFBE7D,yes,6.292591714597597,National,Aggregated,#1b9e77,,,,,,,,,,,,31,NWSS
