State,state_abbr,state_latitude,state_longitude,cdc_region,fips,cdc_region__colour,State__colour
Alabama,AL,32.7794,-86.8287,South,1,#2A9D8F ,#FF0000
Alaska,AK,64.0685,-152.2782,West,2,#264653,#00FF00
Arizona,AZ,34.2744,-111.6602,West,4,#264653,#0000FF
Arkansas,AR,34.8938,-92.4426,South,5,#2A9D8F ,#FFFF00
California,CA,37.1841,-119.4696,West,6,#264653,#FF00FF
Colorado,CO,38.9972,-105.5478,West,8,#264653,#00FFFF
Connecticut,CT,41.6219,-72.7273,Northeast,9,#F4A261 ,#800000
Delaware,DE,38.9896,-75.505,Northeast,10,#F4A261 ,#008000
District of Columbia,DC,38.9101,-77.0147,South,11,#2A9D8F ,#000080
Florida,FL,28.6305,-82.4497,South,12,#2A9D8F ,#808000
Georgia,GA,32.6415,-83.4426,South,13,#2A9D8F ,#800080
Hawaii,HI,20.2927,-156.3737,West,15,#264653,#008080
Idaho,ID,44.3509,-114.613,West,16,#264653,#FFA500
Illinois,IL,40.0417,-89.1965,Midwest,17,#E63946 ,#A52A2A
Indiana,IN,39.8942,-86.2816,Midwest,18,#E63946 ,#008B8B
Iowa,IA,42.0751,-93.496,Midwest,19,#E63946 ,#DC143C
Kansas,KS,38.4937,-98.3804,Midwest,20,#E63946 ,#00CED1
Kentucky,KY,37.5347,-85.3021,South,21,#2A9D8F ,#8B008B
Louisiana,LA,31.0689,-91.9968,South,22,#2A9D8F ,#32CD32
Maine,ME,45.3695,-69.2428,Northeast,23,#F4A261 ,#FFD700
Maryland,MD,39.055,-76.7909,South,24,#2A9D8F ,#40E0D0
Massachusetts,MA,42.2596,-71.8083,Northeast,25,#F4A261 ,#9370DB
Michigan,MI,44.3467,-85.4102,Midwest,26,#E63946 ,#2F4F4F
Minnesota,MN,46.2807,-94.3053,Midwest,27,#E63946 ,#FA8072
Mississippi,MS,32.7364,-89.6678,South,28,#2A9D8F ,#66CDAA
Missouri,MO,38.3566,-92.458,Midwest,29,#E63946 ,#FF6347
Montana,MT,47.0527,-109.6333,West,30,#264653,#BA55D3
Nebraska,NE,41.5378,-99.7951,Midwest,31,#E63946 ,#ADFF2F
Nevada,NV,39.3289,-116.6312,West,32,#264653,#7FFF00
New Hampshire,NH,43.6805,-71.5811,Northeast,33,#F4A261 ,#FF4500
New Jersey,NJ,40.1907,-74.6728,Northeast,34,#F4A261 ,#20B2AA
New Mexico,NM,34.4071,-106.1126,West,35,#264653,#DDA0DD
New York,NY,42.9538,-75.5268,Northeast,36,#F4A261 ,#B0C4DE
North Carolina,NC,35.5557,-79.3877,South,37,#2A9D8F ,#FF8C00
North Dakota,ND,47.4501,-100.4659,Midwest,38,#E63946 ,#4682B4
Ohio,OH,40.2862,-82.7937,Midwest,39,#E63946 ,#9400D3
Oklahoma,OK,35.5889,-97.4943,South,40,#2A9D8F ,#00FA9A
Oregon,OR,43.9336,-120.5583,West,41,#264653,#8A2BE2
Pennsylvania,PA,40.8781,-77.7996,Northeast,42,#F4A261 ,#CD5C5C
Rhode Island,RI,41.6762,-71.5562,Northeast,44,#F4A261 ,#48D1CC
South Carolina,SC,33.9169,-80.8964,South,45,#2A9D8F ,#4B0082
South Dakota,SD,44.4443,-100.2263,Midwest,46,#E63946 ,#FF1493
Tennessee,TN,35.858,-86.3505,South,47,#2A9D8F ,#7B68EE
Texas,TX,31.4757,-99.3312,South,48,#2A9D8F ,#228B22
Utah,UT,39.3055,-111.6703,West,49,#264653,#D2691E
Vermont,VT,44.0687,-72.6658,Northeast,50,#F4A261 ,#6495ED
Virginia,VA,37.5215,-78.8537,South,51,#2A9D8F ,#696969
Washington,WA,47.3826,-120.4472,West,53,#264653,#8B4513
West Virginia,WV,38.6409,-80.6227,South,54,#2A9D8F ,#556B2F
Wisconsin,WI,44.6243,-89.9941,Midwest,55,#E63946 ,#20B2AA
Wyoming,WY,42.9957,-107.5512,West,56,#264653,#FFD700
